is_viral,hashtag,count
False,pasitano,1
False,pilatesgirl,1
False,pinterestgirls,1
False,porsche,1
False,porscheclub,1
False,pourtoi,1
False,promozione,1
False,pubblicità,1
False,purecotton,1
False,quietluxury,1
False,ragazze,1
False,relationship,1
False,rugby,1
False,samba,1
False,sartoriale,1
False,sawaalamode,1
False,scelgoiconvoi,1
False,scontimoda,1
False,sere,1
False,shein,1
False,sheincodes2023,1
False,sheindress,1
False,sheindresses,1
False,sheininitaly,1
False,sheinmodernman,1
False,sheinootd,1
False,sheinoutfit,1
False,shirt,1
False,shoplocalitaly,1
False,shoppingonline,1
False,shoppingroma,1
False,shoppingtips,1
False,simplefits,1
False,skirt,1
False,slay,1
False,slowfashion,1
False,slowfashiontiktok,1
False,slowstyle,1
False,smartcasual,1
False,sneakerlover,1
False,spedizioniintuttaitalia,1
False,spring,1
False,springoutfit,1
False,springoutfitideas,1
False,ss25trends,1
False,stile,1
False,stileitaliano,1
False,storia,1
False,streetstyl,1
False,streetstyleitalia,1
False,styleblogger,1
False,styleedit,1
False,styleevolution,1
False,styleinspiration,1
False,stylequeen,1
False,stylesnap,1
False,stylestatement,1
False,stylishoutfit,1
False,summer2023,1
False,summer2024,1
False,summerdress,1
False,summerideas,1
False,summerides,1
False,summerlookbook,1
False,summermode,1
False,summernights,1
False,summertime,1
False,tailoring,1
False,tendenze2025,1
False,theatre,1
False,tiktokrugby,1
False,tourist,1
False,travels,1
False,travelstyle,1
False,traveltips,1
False,traveltok,1
False,travelvlog,1
False,trend,1
False,trendsetter,1
False,trendy,1
False,treviglio,1
False,tryonhaul,1
False,tshirt,1
False,tshirtdesign,1
False,tshirts,1
False,turin,1
False,ufficio,1
False,unisexclothing,1
False,unisexfashion,1
False,urlaub,1
False,vacationdress,1
False,valigiapronta,1
False,varenna,1
False,verano,1
False,vestitibelli,1
False,vestitibianchi,1
False,vestitidonna,1
False,vestitobianco,1
False,viajareestilo,1
False,vintage,1
False,vintageclothing,1
False,vintagelove,1
False,vintagemenswear,1
False,vintageshop,1
False,vintagestyle,1
False,vintagesuit,1
False,viral_video,1
False,visititaly,1
False,vlog,1
False,wardrobemagic,1
False,weddingday,1
False,wego_ootd,1
False,whatpeoplearewearing,1
False,whattowear,1
False,whattowearitaly,1
False,whattoweartoday,1
False,whitefoxboutique,1
False,whitefoxhaul,1
False,woman,1
False,womenswear,1
False,wshot,1
False,y2k,1
False,zaranewin,1
False,zaraしか勝たん,1
False,zara新作,1
False,zesty,1
False,zestytrends,1
False,おしゃれ,1
